City,BHK,Sqft,Bathrooms,Floor,Total_Floors,Distance_to_Center,Has_Swimming_Pool,Has_Gym,Is_Gated_Community,Per_Capita_Income_Lakh,Price_INR
Bangalore,1,603,1,5,12,7.16,1,1,0,9.8,7598657.0
Ahmedabad,4,3107,4,13,14,8.84,0,0,0,2.8,16927319.0
Hyderabad,4,2351,4,0,4,20.94,0,1,1,5.54,18817470.0
Delhi NCR,3,1409,2,13,23,20.67,1,1,1,4.75,13430601.0
Ahmedabad,2,820,2,1,1,8.78,1,1,1,2.8,5732235.0
Chennai,1,540,1,5,14,20.42,1,1,0,3.5,5010235.0
Chennai,2,1186,2,0,3,19.33,0,0,1,3.5,6423234.0
Ahmedabad,3,1955,3,6,6,3.44,0,1,1,2.8,13211021.0
Ahmedabad,2,813,2,0,2,7.64,0,1,1,2.8,5001383.0
Chennai,1,626,1,0,9,29.64,1,1,1,3.5,4249761.0
Bangalore,5,8539,4,28,35,16.72,1,1,1,9.8,105222243.0
Lucknow,2,981,2,9,19,21.44,1,1,1,1.6,3258166.0
Hyderabad,5,5249,5,5,10,20.45,0,0,0,5.54,34246244.0
Chennai,1,438,0,5,14,10.22,0,0,1,3.5,2314982.0
Delhi NCR,4,3693,3,12,13,19.94,1,1,1,4.75,31952299.0
Bangalore,3,1401,3,12,15,12.8,1,1,1,9.8,17655164.0
Kolkata,3,1398,3,1,9,5.08,0,1,1,2.5,9577638.0
Mumbai,5,6598,5,27,28,28.2,1,1,0,4.13,86762570.0
Hyderabad,5,9256,5,12,16,5.85,1,1,1,5.54,169888532.0
Hyderabad,2,1110,1,4,8,14.47,0,1,0,5.54,9673940.0
Mumbai,3,1304,3,26,34,26.29,1,1,1,4.13,11580882.0
Pune,1,696,1,8,8,10.5,0,0,1,2.78,6166709.0
Chennai,4,2734,4,2,6,6.88,0,1,0,3.5,24023736.0
Pune,5,8474,4,12,22,16.97,0,1,0,2.78,110017991.0
Jaipur,3,1458,3,8,9,17.49,0,1,0,1.8,6749768.0
Kolkata,3,1497,2,12,15,19.96,1,1,1,2.5,11806912.0
Jaipur,4,3200,3,0,5,26.52,0,1,1,1.8,11087341.0
Kolkata,3,1577,2,2,4,23.01,1,1,1,2.5,9288587.0
Hyderabad,4,3123,4,6,6,7.42,0,1,1,5.54,26676667.0
Bangalore,1,691,1,12,14,13.55,1,1,1,9.8,7788219.0
Pune,3,1952,3,15,22,1.77,0,0,1,2.78,24445053.0
Lucknow,4,2472,4,2,8,22.22,0,1,1,1.6,7455893.0
Kolkata,1,692,1,5,12,14.37,1,1,0,2.5,4246454.0
Lucknow,1,475,1,0,8,20.37,0,1,0,1.6,2000000.0
Hyderabad,2,908,2,2,5,4.69,0,0,1,5.54,9656513.0
Pune,2,1022,2,7,11,27.73,0,1,0,2.78,5705328.0
Bangalore,2,1121,2,1,7,7.15,1,1,1,9.8,16239001.0
Hyderabad,4,2865,4,8,11,18.58,1,1,0,5.54,24270160.0
Kolkata,3,1578,2,11,11,18.18,0,1,1,2.5,10684811.0
Kolkata,5,5988,5,6,10,19.95,0,0,0,2.5,37865275.0
Bangalore,5,8211,4,30,40,18.59,1,1,1,9.8,166127039.0
Hyderabad,2,871,2,9,9,0.28,0,1,1,5.54,15071253.0
Chennai,3,1723,3,1,5,24.41,1,1,1,3.5,12036574.0
Chennai,5,6844,4,1,11,19.08,0,0,0,3.5,51860425.0
Chennai,2,868,2,12,18,2.12,0,0,1,3.5,8557137.0
Ahmedabad,5,9967,4,10,11,6.33,1,1,0,2.8,116829793.0
Ahmedabad,5,5821,5,1,3,26.82,0,1,1,2.8,38488897.0
Ahmedabad,3,1475,3,8,9,19.08,1,1,1,2.8,8392705.0
Delhi NCR,3,1502,3,29,29,9.36,1,1,1,4.75,17077650.0
Kolkata,2,978,1,14,22,21.63,1,1,1,2.5,5670141.0
Chennai,4,2317,4,15,24,24.23,0,0,0,3.5,14278804.0
Mumbai,4,3767,4,7,12,15.82,1,1,1,4.13,102598189.0
Hyderabad,5,4879,5,5,8,26.91,1,1,1,5.54,36556915.0
Bangalore,2,907,2,24,24,14.15,1,1,0,9.8,11431971.0
Mumbai,5,7372,5,20,29,26.3,1,1,1,4.13,101998282.0
Mumbai,3,1507,3,28,38,1.36,1,1,1,4.13,49824366.0
Bangalore,3,1326,3,25,32,13.47,1,1,0,9.8,16656596.0
Hyderabad,5,9772,5,15,16,2.01,1,1,1,5.54,275264434.0
Delhi NCR,4,2802,3,19,22,19.81,1,1,0,4.75,20390194.0
Pune,5,7435,5,5,11,17.83,1,1,1,2.78,71546070.0
Hyderabad,1,446,0,1,5,0.44,1,1,1,5.54,4484747.0
Chennai,3,1923,2,11,19,20.7,0,0,1,3.5,8931134.0
Ahmedabad,1,623,1,12,22,26.43,0,0,0,2.8,2713993.0
Lucknow,1,434,1,0,2,6.09,0,1,0,1.6,2330732.0
Kolkata,2,1034,2,6,16,3.69,1,1,1,2.5,9647085.0
Bangalore,1,653,0,4,10,14.12,1,1,1,9.8,8702608.0
Jaipur,2,961,2,8,16,9.71,0,1,0,1.8,4745502.0
Kolkata,3,1438,3,3,6,24.28,1,1,1,2.5,8154803.0
Lucknow,5,6957,5,10,17,11.77,0,0,1,1.6,38241520.0
Hyderabad,4,3528,3,2,5,11.65,0,0,0,5.54,24771392.0
Kolkata,2,1145,1,9,18,3.58,0,1,1,2.5,7877278.0
Lucknow,3,1502,3,6,14,21.01,1,1,1,1.6,6331190.0
Ahmedabad,3,1744,3,13,18,14.17,1,1,1,2.8,10968935.0
Bangalore,2,1181,1,36,38,3.88,1,1,0,9.8,20619767.0
Bangalore,3,1863,2,34,34,27.49,1,1,0,9.8,17493773.0
Delhi NCR,4,3693,4,16,16,18.7,1,1,0,4.75,34403609.0
Lucknow,1,497,1,9,19,23.49,0,0,1,1.6,2000000.0
Ahmedabad,4,3214,4,14,14,28.8,0,1,1,2.8,14187195.0
Pune,2,1080,1,12,14,20.48,0,0,1,2.78,7856088.0
Bangalore,2,876,2,38,44,8.61,1,1,1,9.8,9553907.0
Lucknow,3,1908,3,3,9,4.93,0,1,1,1.6,9785853.0
Delhi NCR,1,431,1,35,43,17.88,1,1,1,4.75,4761250.0
Ahmedabad,4,2828,4,7,13,18.43,0,1,1,2.8,13077994.0
Lucknow,4,2635,4,11,13,4.09,0,1,0,1.6,12817533.0
Chennai,1,409,1,14,14,0.56,1,1,1,3.5,4919760.0
Ahmedabad,1,490,1,12,15,28.25,0,1,1,2.8,2000000.0
Hyderabad,2,806,2,0,10,13.94,1,1,1,5.54,7510373.0
Kolkata,1,657,0,3,8,15.67,1,1,0,2.5,3871872.0
Jaipur,3,1468,3,1,11,15.36,0,0,0,1.8,6145295.0
Lucknow,2,1103,2,13,18,22.37,0,0,1,1.6,4553464.0
Kolkata,4,2615,4,10,12,27.87,0,1,1,2.5,11788699.0
Jaipur,2,1061,2,8,15,21.38,0,0,1,1.8,4089591.0
Pune,4,3026,4,11,16,19.34,0,0,1,2.78,18003318.0
Pune,5,9330,5,0,4,21.31,1,1,1,2.78,132693743.0
Mumbai,5,6344,4,10,16,18.79,1,1,0,4.13,96977291.0
Mumbai,4,2775,3,26,31,16.7,1,1,1,4.13,68356778.0
Lucknow,3,1528,2,4,12,7.37,0,1,1,1.6,6697953.0
Pune,4,2658,4,13,22,11.5,0,0,1,2.78,20342489.0
Ahmedabad,3,1947,2,11,12,7.19,0,0,1,2.8,10343985.0
Lucknow,3,1591,2,15,22,4.92,0,1,1,1.6,9273842.0
Hyderabad,5,5330,5,7,11,2.82,1,1,0,5.54,62011788.0
Mumbai,3,1598,3,2,5,2.34,1,1,0,4.13,48340684.0
Delhi NCR,1,424,0,24,28,7.07,1,1,1,4.75,4887885.0
Delhi NCR,1,674,1,9,15,18.62,1,1,0,4.75,5761141.0
Lucknow,5,4656,5,1,6,2.48,1,1,1,1.6,33486169.0
Chennai,2,1167,2,7,13,24.65,1,1,1,3.5,6796429.0
Pune,3,1879,2,4,8,14.67,0,0,1,2.78,13693777.0
Bangalore,4,2917,4,17,20,21.45,1,1,0,9.8,36155125.0
Jaipur,4,3348,3,11,16,26.34,0,0,0,1.8,10355290.0
Kolkata,3,1964,3,7,15,20.44,0,1,1,2.5,12142595.0
Jaipur,5,8566,5,14,23,20.76,0,0,1,1.8,58377792.0
Kolkata,5,9532,5,4,7,16.69,1,1,0,2.5,92223515.0
Bangalore,5,4611,4,2,6,21.56,1,1,0,9.8,33463029.0
Lucknow,3,1305,3,14,21,11.83,0,0,1,1.6,5574399.0
Lucknow,5,6543,5,10,19,26.3,0,1,0,1.6,27038643.0
Kolkata,5,8756,5,14,20,6.74,0,0,0,2.5,109310016.0
Mumbai,4,3107,3,10,14,8.0,1,1,1,4.13,76840976.0
Pune,5,6624,5,13,16,10.86,1,1,0,2.78,75726790.0
Hyderabad,3,1940,3,14,18,13.71,0,0,1,5.54,11306044.0
Hyderabad,3,1731,3,0,5,0.17,1,1,0,5.54,24909870.0
Lucknow,4,3849,4,9,11,24.96,1,1,0,1.6,14703576.0
Bangalore,2,1109,2,21,23,15.24,1,1,0,9.8,12194794.0
Mumbai,5,7022,4,14,14,15.58,1,1,1,4.13,264200953.0
Chennai,2,903,1,14,22,7.13,0,1,0,3.5,6901632.0
Mumbai,3,1592,3,1,3,20.45,1,1,1,4.13,27970691.0
Kolkata,5,6791,5,10,12,27.95,0,1,0,2.5,44054547.0
Ahmedabad,3,1543,3,6,15,19.29,0,1,0,2.8,7689642.0
Jaipur,3,1578,3,7,8,9.3,0,0,1,1.8,7809247.0
Pune,2,1059,2,2,9,28.81,0,0,1,2.78,5534297.0
Ahmedabad,2,822,2,14,18,3.94,0,1,0,2.8,5659555.0
Chennai,3,1670,2,7,15,15.36,1,1,1,3.5,12345361.0
Ahmedabad,1,595,1,5,7,26.53,0,1,1,2.8,2163523.0
Chennai,1,414,1,15,18,7.17,0,0,1,3.5,3395153.0
Mumbai,4,2255,3,18,28,0.83,1,1,0,4.13,103399122.0
Ahmedabad,4,3298,4,7,7,16.49,1,1,1,2.8,18115542.0
Jaipur,5,6897,5,14,24,6.43,0,0,1,1.8,45812199.0
Hyderabad,1,451,1,4,5,19.52,0,1,0,5.54,2503725.0
Ahmedabad,2,1170,2,9,19,14.27,1,1,1,2.8,7758957.0
Mumbai,5,8522,5,15,20,27.39,1,1,1,4.13,253302031.0
Delhi NCR,2,813,2,17,26,13.33,1,1,0,4.75,7941782.0
Lucknow,5,5628,4,5,8,0.02,0,0,0,1.6,33059316.0
Pune,3,1441,3,1,6,5.5,0,0,1,2.78,12572491.0
Jaipur,5,5292,4,8,13,3.69,0,1,1,1.8,32499606.0
Hyderabad,4,2795,3,1,1,2.05,1,1,0,5.54,32324991.0
Kolkata,3,1704,3,3,10,15.71,1,1,1,2.5,12459278.0
Hyderabad,4,3701,4,14,20,14.66,0,1,1,5.54,24107803.0
Mumbai,3,1876,2,36,46,17.54,1,1,0,4.13,21550621.0
Chennai,5,6570,4,0,10,16.85,0,0,1,3.5,65371820.0
Lucknow,1,564,1,14,20,5.72,0,0,1,1.6,2538764.0
Hyderabad,2,1162,2,9,12,0.07,0,1,1,5.54,16244398.0
Kolkata,2,1111,2,13,23,7.31,1,1,1,2.5,9316360.0
Mumbai,2,1156,1,9,10,15.35,1,1,1,4.13,22505091.0
Delhi NCR,1,425,1,13,14,26.77,1,1,0,4.75,3655662.0
Chennai,5,7879,4,14,22,16.35,0,1,0,3.5,68257295.0
Pune,4,2353,4,1,3,20.52,1,1,0,2.78,17725630.0
Pune,4,3996,4,9,15,17.19,0,1,1,2.78,31201364.0
Lucknow,2,1125,1,1,11,14.34,0,1,0,1.6,3773872.0
Lucknow,3,1768,3,15,17,10.25,0,1,1,1.6,8640744.0
Jaipur,3,1861,3,11,20,21.81,1,1,0,1.8,7944663.0
Ahmedabad,5,7101,4,9,9,1.34,0,0,1,2.8,67576902.0
Mumbai,1,588,0,21,30,7.25,1,1,1,4.13,9721303.0
Ahmedabad,5,8748,5,14,20,10.27,0,0,1,2.8,89146269.0
Lucknow,5,9098,5,2,8,23.65,0,0,1,1.6,49413285.0
Pune,1,422,1,2,10,25.6,0,0,1,2.78,2752274.0
Lucknow,3,1854,2,12,12,3.79,0,0,0,1.6,8554205.0
Chennai,2,898,1,0,4,1.37,0,0,0,3.5,5429669.0
Kolkata,3,1776,3,3,13,13.61,0,1,0,2.5,12623145.0
Kolkata,3,1840,3,7,13,0.42,0,0,1,2.5,14720743.0
Chennai,4,3259,4,15,19,16.76,0,0,1,3.5,18948379.0
Lucknow,4,2374,4,4,14,6.86,0,1,1,1.6,12029547.0
Bangalore,5,6722,5,32,41,7.37,1,1,0,9.8,155356216.0
Ahmedabad,3,1611,3,3,4,15.91,1,1,1,2.8,9331732.0
Lucknow,4,2858,4,13,16,15.66,0,1,0,1.6,12845610.0
Pune,2,1189,2,13,13,11.35,0,1,1,2.78,11996988.0
Pune,2,886,2,13,18,24.98,0,1,0,2.78,4726842.0
Lucknow,4,3937,4,9,13,26.05,1,1,1,1.6,15311659.0
Ahmedabad,1,440,0,6,7,13.9,0,1,0,2.8,2505712.0
Hyderabad,4,3484,4,1,5,27.66,1,1,1,5.54,11334436.0
Hyderabad,2,965,2,3,8,26.66,1,1,0,5.54,6269576.0
Delhi NCR,4,2425,3,5,7,12.51,1,1,0,4.75,15236002.0
Ahmedabad,1,676,1,0,0,10.93,0,1,0,2.8,3466152.0
Lucknow,5,6615,4,6,6,10.46,0,1,1,1.6,39390066.0
Pune,5,9306,5,14,22,8.26,1,1,1,2.78,152072230.0
Chennai,3,1842,3,2,7,26.46,0,0,1,3.5,8489180.0
Kolkata,2,1093,2,0,0,24.37,1,1,1,2.5,5480202.0
Bangalore,1,619,0,8,13,5.17,1,1,1,9.8,12150719.0
Chennai,3,1353,3,14,24,4.68,0,1,0,3.5,15195131.0
Hyderabad,1,475,0,7,8,13.24,1,1,1,5.54,3335378.0
Mumbai,4,3995,4,19,23,29.98,1,1,0,4.13,102686600.0
Kolkata,4,3928,3,5,12,28.54,0,1,1,2.5,19629081.0
Mumbai,2,1076,1,9,13,26.98,1,1,1,4.13,18461300.0
Pune,4,3572,4,11,11,4.87,0,0,0,2.78,32713441.0
Jaipur,4,3127,3,1,3,28.73,0,1,0,1.8,9659372.0
Bangalore,4,3460,3,23,24,3.36,1,1,1,9.8,65593756.0
Chennai,4,3024,4,11,19,2.19,0,1,1,3.5,29887296.0
Pune,4,3727,4,2,3,25.71,0,0,1,2.78,21112575.0
Kolkata,2,895,1,8,18,27.02,0,0,1,2.5,3520506.0
Chennai,4,2880,4,0,6,2.24,0,1,1,3.5,22841051.0
Jaipur,3,1546,3,7,9,25.76,1,1,1,1.8,5394537.0
Hyderabad,4,3971,3,3,6,4.08,0,1,1,5.54,43151717.0
Kolkata,2,865,1,14,15,27.26,1,1,1,2.5,4370177.0
Bangalore,5,6481,5,24,28,6.75,1,1,0,9.8,110765523.0
Bangalore,3,1670,2,9,17,5.62,1,1,1,9.8,28443495.0
Ahmedabad,5,9079,5,14,18,8.26,0,0,1,2.8,95670482.0
Ahmedabad,4,2257,4,12,13,5.31,0,1,0,2.8,14709406.0
Pune,4,3157,4,1,8,18.14,1,1,1,2.78,25438145.0
Ahmedabad,3,1537,3,9,15,5.71,1,1,0,2.8,13237270.0
Mumbai,1,674,1,30,36,15.65,1,1,0,4.13,16771293.0
Delhi NCR,3,1620,2,32,32,4.16,1,1,1,4.75,20934474.0
Hyderabad,5,4756,5,14,18,26.95,1,1,1,5.54,29200938.0
Mumbai,4,3689,4,38,46,15.19,1,1,0,4.13,99128875.0
Bangalore,3,1907,3,27,32,19.76,1,1,0,9.8,22773273.0
Jaipur,4,3698,4,9,13,0.1,0,1,1,1.8,24420751.0
Lucknow,2,812,1,10,20,27.5,0,1,0,1.6,2644347.0
Kolkata,2,943,1,1,5,18.33,0,0,0,2.5,4418942.0
Mumbai,4,2556,3,36,43,6.48,1,1,0,4.13,65613799.0
Jaipur,2,803,2,11,16,14.21,0,1,0,1.8,2699729.0
Delhi NCR,5,8775,4,21,22,17.31,1,1,1,4.75,129798290.0
Pune,4,3775,3,13,16,8.58,0,1,1,2.78,43112644.0
Lucknow,3,1448,3,7,15,4.21,1,1,1,1.6,8101919.0
Ahmedabad,1,675,0,11,21,6.76,0,0,1,2.8,4062265.0
Mumbai,2,985,2,34,38,10.99,1,1,1,4.13,19165704.0
Pune,1,693,0,3,13,26.67,0,1,1,2.78,4499604.0
Lucknow,3,1439,3,3,11,10.53,0,0,1,1.6,5700829.0
Chennai,1,613,0,4,5,15.9,0,1,0,3.5,3400237.0
Mumbai,5,9522,5,37,38,5.01,1,1,1,4.13,648838483.0
Hyderabad,3,1662,3,0,2,14.15,1,1,0,5.54,16427797.0
Pune,5,6260,4,12,17,14.84,1,1,0,2.78,65742128.0
Jaipur,3,1707,3,0,10,6.22,0,1,1,1.8,9552266.0
Lucknow,5,7097,5,6,10,11.66,0,0,1,1.6,42235241.0
Pune,1,468,1,10,19,10.13,0,1,0,2.78,4317726.0
Kolkata,3,1557,2,6,14,6.64,0,1,1,2.5,9580738.0
Delhi NCR,5,7206,5,32,42,15.05,1,1,1,4.75,139765957.0
Jaipur,3,1778,3,12,21,22.58,0,0,0,1.8,5827899.0
Pune,4,2935,4,15,16,22.53,0,1,0,2.78,18616790.0
Pune,5,5015,5,10,14,12.33,0,1,0,2.78,67361285.0
Mumbai,4,3956,4,24,32,26.13,1,1,1,4.13,84873615.0
Pune,3,1480,3,0,10,10.75,0,0,0,2.78,10015196.0
Jaipur,3,1664,2,5,7,26.38,0,1,1,1.8,4693905.0
Bangalore,5,8441,5,40,46,7.63,1,1,0,9.8,233793262.0
Jaipur,5,9592,5,11,21,11.89,1,1,0,1.8,73643189.0
Ahmedabad,2,831,2,13,14,10.81,1,1,1,2.8,5080658.0
Pune,3,1630,3,15,25,23.03,0,1,0,2.78,10290235.0
Hyderabad,5,8556,5,12,15,20.64,0,0,1,5.54,111543563.0
Hyderabad,2,1014,1,6,15,8.33,0,1,0,5.54,10082138.0
Hyderabad,1,604,1,5,10,10.94,0,0,0,5.54,4288631.0
Hyderabad,1,643,1,11,16,26.82,1,1,0,5.54,4738945.0
Pune,4,2783,4,9,19,3.52,0,1,1,2.78,26146479.0
Hyderabad,3,1514,2,12,22,6.81,0,1,1,5.54,14964665.0
Lucknow,2,1175,1,14,17,29.23,0,1,1,1.6,3879780.0
Lucknow,2,920,2,9,17,8.41,0,0,0,1.6,4210892.0
Pune,2,1135,2,2,9,20.04,0,1,0,2.78,8566451.0
Ahmedabad,5,6277,5,6,16,22.24,0,1,1,2.8,40388892.0
Kolkata,4,2951,4,6,11,18.59,0,1,0,2.5,15514552.0
Hyderabad,1,423,1,13,17,8.45,0,0,0,5.54,3920548.0
Jaipur,2,839,2,8,16,5.03,1,1,1,1.8,5370269.0
Lucknow,4,2909,4,3,10,9.12,1,1,1,1.6,13439688.0
Kolkata,4,2884,3,6,14,5.68,0,0,0,2.5,18267825.0
Kolkata,3,1340,3,7,12,9.37,0,0,0,2.5,8188436.0
Kolkata,1,614,1,6,16,18.78,0,1,0,2.5,3640747.0
Delhi NCR,5,8085,5,36,39,7.06,1,1,1,4.75,154662340.0
Hyderabad,3,1864,3,2,10,2.27,0,1,1,5.54,14600473.0
Mumbai,4,3399,4,7,8,17.23,1,1,0,4.13,67449379.0
Ahmedabad,3,1622,3,5,15,25.9,0,0,1,2.8,6458333.0
Lucknow,4,3590,3,13,16,1.66,1,1,1,1.6,25537977.0
Lucknow,4,2625,4,2,8,20.24,0,0,1,1.6,9456720.0
Mumbai,4,2710,3,22,30,28.87,1,1,1,4.13,60190048.0
Bangalore,4,2255,3,15,21,17.36,1,1,1,9.8,20997512.0
Lucknow,5,6331,5,2,9,15.96,1,1,0,1.6,33805547.0
Ahmedabad,3,1340,3,9,17,0.57,1,1,1,2.8,10422821.0
Delhi NCR,2,1083,2,34,34,24.36,1,1,0,4.75,11286764.0
Ahmedabad,3,1477,2,7,9,5.05,0,1,1,2.8,11361608.0
Hyderabad,3,1691,3,15,21,26.19,0,0,0,5.54,9060949.0
Mumbai,1,672,1,32,37,12.54,1,1,1,4.13,15026555.0
Bangalore,2,1072,1,37,41,20.53,1,1,0,9.8,14615207.0
Hyderabad,4,3176,4,5,14,17.87,1,1,0,5.54,28200106.0
Pune,5,9667,4,12,12,9.38,0,1,0,2.78,148407904.0
Kolkata,4,3054,3,5,11,21.06,1,1,1,2.5,16565762.0
Hyderabad,4,2900,4,10,15,9.77,0,1,1,5.54,29216370.0
Lucknow,3,1439,3,10,16,20.57,1,1,1,1.6,5509426.0
Chennai,2,1020,1,10,19,20.34,1,1,1,3.5,6099000.0
Ahmedabad,2,1092,2,3,9,27.26,0,1,0,2.8,4208289.0
Chennai,3,1585,3,15,24,29.49,0,1,1,3.5,8060103.0
Jaipur,5,7385,5,5,8,23.9,0,1,1,1.8,39221632.0
Hyderabad,2,986,1,12,21,8.1,0,0,0,5.54,5686073.0
Mumbai,4,2763,3,10,13,26.5,1,1,1,4.13,59517962.0
Jaipur,4,3348,3,1,10,8.63,0,1,0,1.8,18620378.0
Lucknow,4,2745,4,12,17,9.75,0,0,0,1.6,9064481.0
Lucknow,2,990,2,12,16,4.01,0,0,0,1.6,5142339.0
Chennai,5,6720,5,13,23,22.85,0,1,1,3.5,50025217.0
Mumbai,1,603,1,8,12,23.14,1,1,0,4.13,12796461.0
Jaipur,2,1021,2,7,17,29.71,0,0,0,1.8,3052038.0
Ahmedabad,3,1511,3,4,6,9.56,0,1,1,2.8,8979005.0
Mumbai,3,1523,2,16,23,17.47,1,1,1,4.13,29151333.0
Jaipur,2,1108,2,8,12,28.43,0,0,0,1.8,3835196.0
Delhi NCR,1,429,1,33,35,27.29,1,1,1,4.75,2588539.0
Pune,1,441,0,11,12,12.54,1,1,1,2.78,4555631.0
Bangalore,2,933,2,37,42,16.57,1,1,1,9.8,13472080.0
Mumbai,4,3780,4,11,19,7.02,1,1,1,4.13,123400508.0
Chennai,4,3460,3,13,14,1.93,0,1,1,3.5,48038301.0
Mumbai,4,2252,3,7,10,26.41,1,1,1,4.13,31289844.0
Delhi NCR,2,1173,1,33,34,26.97,1,1,0,4.75,12286720.0
Hyderabad,5,6747,5,3,12,28.53,0,0,1,5.54,49523119.0
Bangalore,4,2611,3,29,33,19.88,1,1,0,9.8,33559224.0
Hyderabad,2,896,2,5,8,10.22,0,0,0,5.54,6667452.0
Bangalore,3,1515,2,40,48,27.85,1,1,1,9.8,13658142.0
Mumbai,1,696,0,17,25,18.08,1,1,1,4.13,19489371.0
Ahmedabad,2,846,2,4,9,17.0,0,0,1,2.8,3708283.0
Bangalore,3,1446,3,0,9,4.52,1,1,1,9.8,13657062.0
Pune,1,473,0,7,8,11.6,0,0,0,2.78,3182885.0
Pune,2,1002,2,12,13,14.64,1,1,0,2.78,9578299.0
Kolkata,2,937,2,6,6,8.79,1,1,0,2.5,8155945.0
Ahmedabad,5,7777,5,8,12,0.76,0,0,0,2.8,76797846.0
Kolkata,5,8354,4,6,10,14.23,1,1,1,2.5,102182255.0
Ahmedabad,4,3290,4,10,11,3.38,0,1,0,2.8,19942576.0
Hyderabad,3,1417,2,11,21,18.71,1,1,0,5.54,10363019.0
Lucknow,3,1771,3,2,6,12.38,0,0,0,1.6,6332735.0
Mumbai,1,505,0,4,12,8.74,1,1,1,4.13,11270683.0
Jaipur,2,1196,2,0,3,22.15,1,1,0,1.8,4981821.0
Chennai,4,2332,3,14,17,22.84,1,1,0,3.5,17362791.0
Mumbai,1,685,0,37,43,9.93,1,1,1,4.13,15498366.0
Hyderabad,4,3965,3,4,13,19.57,1,1,1,5.54,35469307.0
Hyderabad,1,626,1,2,8,2.15,0,1,0,5.54,6150806.0
Ahmedabad,4,2853,3,4,5,21.58,1,1,0,2.8,13022684.0
Lucknow,3,1659,3,7,8,7.9,0,1,0,1.6,7547249.0
Jaipur,2,1180,2,8,11,13.52,1,1,0,1.8,5916446.0
Bangalore,3,1480,3,21,26,3.74,1,1,0,9.8,20437915.0
Lucknow,3,1667,2,14,23,24.85,0,0,1,1.6,5381467.0
Pune,5,5514,4,1,6,6.79,1,1,1,2.78,71961861.0
Bangalore,2,1032,1,38,39,29.97,1,1,1,9.8,8832197.0
Lucknow,2,1084,2,11,16,10.56,0,0,1,1.6,5139544.0
Ahmedabad,5,4849,4,0,1,2.95,0,0,0,2.8,30297882.0
Ahmedabad,5,9750,5,6,9,8.11,0,0,1,2.8,85690452.0
Bangalore,2,1108,1,1,9,8.87,1,1,0,9.8,19671532.0
Pune,2,1067,2,15,17,13.79,1,1,1,2.78,8460253.0
Chennai,5,7322,5,3,10,22.97,0,0,0,3.5,42688053.0
Mumbai,1,689,1,16,25,23.22,1,1,1,4.13,15308750.0
Bangalore,5,9932,5,27,29,29.07,1,1,1,9.8,89110455.0
Jaipur,2,943,2,13,18,10.03,0,1,1,1.8,4767549.0
Mumbai,1,673,1,35,41,6.23,1,1,0,4.13,30118561.0
Pune,3,1471,3,13,23,28.12,1,1,0,2.78,7752081.0
Kolkata,3,1459,2,15,23,13.1,0,0,1,2.5,7108759.0
Mumbai,5,8545,4,17,23,2.73,1,1,0,4.13,201562646.0
Bangalore,2,904,2,26,27,11.36,1,1,1,9.8,13437957.0
Hyderabad,2,1012,2,6,15,13.1,0,1,0,5.54,9578683.0
Lucknow,5,9869,5,15,21,25.1,1,1,1,1.6,62954166.0
Chennai,2,881,2,9,18,16.48,1,1,1,3.5,7505459.0
Chennai,5,4686,5,4,6,15.94,0,0,0,3.5,38816701.0
Bangalore,3,1520,3,18,27,2.08,1,1,0,9.8,30427509.0
Chennai,4,3938,4,7,14,19.11,0,1,1,3.5,26673276.0
Bangalore,2,1048,2,37,42,3.92,1,1,1,9.8,8966944.0
Mumbai,2,842,1,8,8,5.43,1,1,1,4.13,16230595.0
Ahmedabad,1,493,1,1,3,22.29,1,1,1,2.8,2401695.0
Jaipur,1,426,0,1,5,21.62,1,1,0,1.8,2000000.0
Delhi NCR,5,9713,5,34,34,21.1,1,1,1,4.75,151306828.0
Jaipur,4,3077,4,11,20,10.59,0,1,1,1.8,17459126.0
Delhi NCR,3,1605,3,4,13,26.03,1,1,0,4.75,15908544.0
Kolkata,3,1717,3,3,10,8.06,1,1,1,2.5,13448384.0
Pune,1,592,0,7,16,29.39,1,1,1,2.78,4683787.0
Ahmedabad,1,408,1,13,13,18.18,0,1,1,2.8,2176724.0
Hyderabad,5,7422,5,1,11,23.09,0,1,0,5.54,67270146.0
Delhi NCR,4,3375,4,27,31,24.41,1,1,0,4.75,36938109.0
Chennai,5,8834,5,8,14,26.26,0,0,0,3.5,69908400.0
Bangalore,3,1678,2,19,29,26.03,1,1,1,9.8,21773903.0
Ahmedabad,4,2419,4,9,19,12.5,0,1,0,2.8,11254758.0
Hyderabad,5,4832,5,9,16,27.76,1,1,1,5.54,36107460.0
Kolkata,3,1837,3,0,9,6.35,0,1,1,2.5,13141270.0
Kolkata,2,1008,2,9,9,26.57,0,1,0,2.5,5048214.0
Delhi NCR,3,1872,3,37,40,1.13,1,1,1,4.75,38567547.0
Chennai,2,823,2,2,9,16.5,0,1,0,3.5,5179416.0
Jaipur,2,1113,2,3,6,13.46,0,0,0,1.8,3796985.0
Lucknow,2,1037,2,12,12,3.99,1,1,1,1.6,6919102.0
Jaipur,2,1172,2,6,15,25.14,1,1,1,1.8,5291443.0
Chennai,4,2733,4,7,11,26.49,0,0,1,3.5,9968919.0
Pune,1,484,1,9,14,8.32,0,0,0,2.78,3843124.0
Kolkata,1,440,0,1,9,27.57,0,0,1,2.5,2000000.0
Lucknow,2,945,1,8,13,12.52,0,0,0,1.6,3335119.0
